device cuda
[8] 0.0512
[9] 0.0436
[9] 0.0754
[9] 0.0464
[9] 0.0511
[9] 0.0478
[9] 0.0505
[9] 0.0457
[9] 0.0455
d4 34385 trainable params
[0] 0.1964
[0] 0.1101
[0] 0.0877
[0] 0.0802
[0] 0.0737
[0] 0.0787
[0] 0.0743
[0] 0.0725
[1] 0.0703
[1] 0.0657
[1] 0.0642
[1] 0.0644
[1] 0.0611
[1] 0.0601
[1] 0.0616
[1] 0.0622
[2] 0.0553
[2] 0.0606
[2] 0.0588
[2] 0.0583
[2] 0.0649
[2] 0.0615
[2] 0.0540
[2] 0.0538
[3] 0.0611
[3] 0.0519
[3] 0.0543
[3] 0.0500
[3] 0.0525
[3] 0.0528
[3] 0.0542
[3] 0.0519
[4] 0.0503
[4] 0.0518
[4] 0.0512
[4] 0.0502
[4] 0.0509
[4] 0.0502
[4] 0.0514
[4] 0.0529
[5] 0.0514
[5] 0.0503
[5] 0.0496
[5] 0.0501
[5] 0.0462
[5] 0.0471
[5] 0.0501
[5] 0.0487
[6] 0.0462
[6] 0.0486
[6] 0.0485
[6] 0.0489
[6] 0.0476
[6] 0.0457
[6] 0.0480
[6] 0.0452
[7] 0.0470
[7] 0.0475
[7] 0.0470
[7] 0.0433
[7] 0.0474
[7] 0.0450
[7] 0.0485
[7] 0.0493
[8] 0.0436
[8] 0.0460
[8] 0.0466
[8] 0.0505
[8] 0.0521
[8] 0.0436
[8] 0.0453
[8] 0.0456
[9] 0.0493
[9] 0.0456
[9] 0.0448
[9] 0.0410
[9] 0.0457
[9] 0.0453
[9] 0.0431
[9] 0.0457
d5 88753 trainable params
[0] 0.1845
[0] 0.0981
[0] 0.0761
[0] 0.0795
[0] 0.0747
[0] 0.0739
[0] 0.0787
[0] 0.0713
[1] 0.0688
[1] 0.0670
[1] 0.0673
[1] 0.0585
[1] 0.0662
[1] 0.0628
[1] 0.0585
[1] 0.0592
[2] 0.0568
[2] 0.0578
[2] 0.0621
[2] 0.0551
[2] 0.0549
[2] 0.0577
[2] 0.0529
[2] 0.0518
[3] 0.0547
[3] 0.0480
[3] 0.0508
[3] 0.0538
[3] 0.0509
[3] 0.0549
[3] 0.0511
[3] 0.0545
[4] 0.0838
[4] 0.0578
[4] 0.0512
[4] 0.0536
[4] 0.0549
[4] 0.0522
[4] 0.0488
[4] 0.0464
[5] 0.0505
[5] 0.0487
[5] 0.0491
[5] 0.0485
[5] 0.0458
[5] 0.0497
[5] 0.0481
[5] 0.0493
[6] 0.0486
[6] 0.0510
[6] 0.0483
[6] 0.0445
[6] 0.0480
[6] 0.0492
[6] 0.0506
[6] 0.0548
[7] 0.0518
[7] 0.0448
[7] 0.0475
[7] 0.0471
[7] 0.0466
[7] 0.0443
[7] 0.0457
[7] 0.0474
[8] 0.0469
[8] 0.0438
[8] 0.0468
[8] 0.0499
[8] 0.0461
[8] 0.0445
[8] 0.0483
[8] 0.0473
[9] 0.0437
[9] 0.0467
[9] 0.0467
[9] 0.0604
[9] 0.0469
[9] 0.0444
[9] 0.0477
[9] 0.0450
d6 137249 trainable params
[0] 0.2159
[0] 0.1077
[0] 0.0921
[0] 0.0814
[0] 0.0827
[0] 0.0760
[0] 0.0772
[0] 0.0733
[1] 0.0749
[1] 0.0715
[1] 0.0660
[1] 0.0727
[1] 0.0664
[1] 0.0666
[1] 0.0666
[1] 0.0624
[2] 0.0674
[2] 0.0607
[2] 0.0600
[2] 0.0596
[2] 0.0606
[2] 0.0550
[2] 0.0574
[2] 0.0564
[3] 0.0564
[3] 0.0569
[3] 0.0572
[3] 0.0551
[3] 0.0540
[3] 0.0574
[3] 0.0551
[3] 0.0546
[4] 0.0499
[4] 0.0502
[4] 0.0557
[4] 0.0509
[4] 0.0539
[4] 0.0540
[4] 0.0503
[4] 0.0520
[5] 0.0487
[5] 0.0534
[5] 0.0518
[5] 0.0547
[5] 0.0539
[5] 0.0492
[5] 0.0521
[5] 0.0504
[6] 0.0492
[6] 0.0495
[6] 0.0502
[6] 0.0503
[6] 0.0512
[6] 0.0517
[6] 0.0534
[6] 0.0519
[7] 0.0510
[7] 0.0488
[7] 0.0492
[7] 0.0511
[7] 0.0466
[7] 0.0534
[7] 0.0481
[7] 0.0501
[8] 0.0493
[8] 0.0474
[8] 0.0498
[8] 0.0450
[8] 0.0473
[8] 0.0495
[8] 0.0472
[8] 0.0480
[9] 0.0483
[9] 0.0499
[9] 0.0444
[9] 0.0453
[9] 0.0487
[9] 0.0463
[9] 0.0516
[9] 0.0469
w1 3057 trainable params
[0] 0.3105
[0] 0.1851
[0] 0.1677
[0] 0.1613
[0] 0.3818
[0] 0.2234
[0] 0.1530
[0] 0.1537
[1] 0.1488
[1] 49.2255
[1] 0.2391
[1] 0.1588
[1] 0.1736
[1] 0.1537
[1] 0.1470
[1] 0.1579
[2] 0.1445
[2] 0.1365
[2] 0.1380
[2] 0.1606
[2] 3.2708
[2] 0.1463
[2] 0.1434
[2] 0.1405
[3] 0.1363
[3] 0.1255
[3] 0.1525
[3] 0.1380
[3] 2.0490
[3] 0.1463
[3] 0.1253
[3] 0.1285
[4] 4.8442
[4] 0.1236
[4] 0.1200
[4] 0.1216
[4] 0.1315
[4] 0.1173
[4] 0.1177
[4] 0.1289
[5] 0.1269
[5] 7.7021
[5] 0.1540
[5] 0.1295
[5] 0.1232
[5] 0.1231
[5] 0.1118
[5] 0.1316
[6] 0.1173
[6] 0.1180
[6] 0.1335
[6] 0.1290
[6] 4.2633
[6] 0.1252
[6] 0.1177
[6] 0.1150
[7] 0.1664
[7] 0.1255
[7] 0.1315
[7] 0.1090
[7] 0.1178
[7] 0.1067
[7] 0.1166
[7] 2.0758
[8] 2.3124
[8] 0.1119
[8] 0.1203
[8] 0.1073
[8] 0.1375
[8] 0.1156
[8] 0.1048
[8] 0.1115
[9] 0.1041
[9] 0.1430
[9] 0.1180
[9] 1.1903
[9] 0.1135
[9] 0.1088
[9] 0.1065
[9] 0.1103
w2 6113 trainable params
[0] 2.5390
[0] 0.1762
[0] 0.1609
[0] 0.1600
[0] 0.1857
[0] 0.1582
[0] 0.1604
[0] 0.1470
[1] 14.5516
[1] 0.2091
[1] 0.1533
[1] 0.2334
[1] 0.2387
[1] 0.1501
[1] 0.1418
[1] 0.1366
[2] 163.4391
[2] 0.2341
[2] 0.1987
[2] 0.2266
[2] 0.2247
[2] 0.1539
[2] 0.5322
[2] 0.1484
[3] 0.1594
[3] 0.1423
[3] 0.1383
[3] 0.1470
[3] 13.4723
[3] 0.1414
[3] 0.1462
[3] 0.1252
[4] 0.1647
[4] 0.1281
[4] 0.1292
[4] 6.1671
[4] 0.1318
[4] 0.1294
[4] 0.1242
[4] 0.1267
[5] 0.1244
[5] 0.1213
[5] 0.1459
[5] 0.1171
[5] 0.1161
[5] 0.1189
[5] 13.5434
[5] 0.1400
[6] 0.1624
[6] 0.1190
[6] 38.2501
[6] 0.1577
[6] 0.1391
[6] 0.1190
[6] 0.1194
[6] 0.1206
[7] 0.1202
[7] 0.1211
[7] 0.1292
[7] 0.1164
[7] 0.1151
[7] 0.1538
[7] 14.6779
[7] 0.1546
[8] 0.1645
[8] 0.2283
[8] 0.1097
[8] 0.1149
[8] 7.6693
[8] 0.1216
[8] 0.1234
[8] 0.1229
[9] 0.2297
[9] 0.1119
[9] 0.1165
[9] 0.1093
[9] 3.3356
[9] 0.1336
[9] 0.1138
[9] 0.1323
w3 23041 trainable params
[0] 0.2893
[0] 0.1620
[0] 0.1473
[0] 0.1518
[0] 0.1356
[0] 0.1099
[0] 0.1010
[0] 0.0946
[1] 0.0956
[1] 0.0893
[1] 0.0846
[1] 24.5056
[1] 0.0920
[1] 0.0872
[1] 0.0861
[1] 0.0811
[2] 0.0807
[2] 43.7748
[2] 0.1018
[2] 0.0878
[2] 0.0890
[2] 0.1030
[2] 0.1032
[2] 0.0879
[3] 0.0812
[3] 0.0865
[3] 0.0851
[3] 47.0155
[3] 0.0961
[3] 0.0893
[3] 0.0839
[3] 0.0809
[4] 0.0916
[4] 0.0830
[4] 1.1092
[4] 0.0820
[4] 0.0790
[4] 0.0763
[4] 0.0775
[4] 0.0729
[5] 0.0804
[5] 0.0745
[5] 0.1772
[5] 0.0774
[5] 0.0739
[5] 0.0724
[5] 0.0752
[5] 0.0774
[6] 0.0758
[6] 0.0717
[6] 0.0734
[6] 0.0702
[6] 0.0705
[6] 0.1395
[6] 0.0761
[6] 0.0726
[7] 0.0684
[7] 0.0674
[7] 0.0670
[7] 0.0664
[7] 0.0652
[7] 0.0677
[7] 0.0670
[7] 0.1229
[8] 0.0662
[8] 0.0670
[8] 0.0655
[8] 0.0653
[8] 0.0681
[8] 0.0637
[8] 0.2134
[8] 0.0647
[9] 0.0650
[9] 0.0630
[9] 0.2277
[9] 0.0651
[9] 0.0631
[9] 0.0633
[9] 0.0660
[9] 0.0663
w4 82497 trainable params
[0] 0.2837
[0] 0.1514
[0] 0.2667
[0] 0.1143
[0] 0.0952
[0] 0.0944
[0] 0.0846
[0] 0.0863
[1] 0.0811
[1] 0.0785
[1] 0.0741
[1] 2.4350
[1] 0.1042
[1] 0.1589
[1] 0.0884
[1] 0.0846
[2] 0.0853
[2] 0.0808
[2] 0.0777
[2] 1.6724
[2] 0.1159
[2] 0.1103
[2] 0.1024
[2] 0.1216
[3] 0.0908
[3] 0.2363
[3] 0.1173
[3] 8.3939
[3] 2.8089
[3] 4.8423
[3] 1.2601
[3] 1.2583
[4] 9.2320
[4] 0.1111
[4] 0.1136
[4] 162.1431
[4] 0.3195
[4] 0.1809
[4] 0.1846
[4] 0.1527
[5] 0.1386
[5] 0.1970
[5] 0.1402
[5] 0.1238
[5] 0.1192
[5] 3447.3165
[5] 0.2102
[5] 0.1744
[6] 0.1540
[6] 0.1397
[6] 0.1321
[6] 0.1202
[6] 2.5586
[6] 0.1631
[6] 0.1300
[6] 0.2061
[7] 0.2518
[7] 0.1278
[7] 0.1653
[7] 237.0185
[7] 0.1765
[7] 0.1366
[7] 0.1727
[7] 0.1262
[8] 2.2204
[8] 0.1193
[8] 0.1207
[8] 0.1211
[8] 0.1114
[8] 0.1179
[8] 0.1220
[8] 0.1269
[9] 1.3603
[9] 0.5373
[9] 0.2652
[9] 0.2247
[9] 0.2182
[9] 0.2083
[9] 0.2078
[9] 0.2773
w5 303809 trainable params
[0] 0.2853
[0] 0.1405
[0] 0.0825
[0] 0.0844
[0] 0.0818
[0] 0.0752
[0] 0.0769
[0] 0.0679
[1] 0.8458
[1] 0.0908
[1] 0.0760
[1] 0.0741
[1] 0.0784
[1] 0.0792
[1] 0.0670
[1] 0.0636
[2] 0.0718
[2] 0.0661
[2] 0.0672
[2] 0.0716
[2] 0.0715
[2] 0.0653
[2] 0.0850
[2] 0.8000
[3] 0.1879
[3] 0.1394
[3] 0.0976
[3] 0.0950
[3] 0.0902
[3] 0.0893
[3] 0.1115
[3] 25.1110
[4] 0.1995
[4] 0.2393
[4] 280.3064
[4] 135.8745
[4] 6.5285
[4] 3.4895
[4] 2.7001
[4] 2.2835
[5] 310.2254
[5] 24.2952
[5] 3.1735
[5] 2.2200
[5] 0.9302
[5] 1.0228
[5] 1.0255
[5] 0.7082
[6] 0.7192
[6] 0.6944
[6] 2.4941
[6] 0.5131
[6] 0.4682
[6] 0.4463
[6] 77489.4208
[6] 176.4439
[7] 17.5869
[7] 4.3457
[7] 829.8799
[7] 550.9521
[7] 117.3140
[7] 133.1397
[7] 5.5376
[7] 1342.1245
[8] 32418.3982
[8] 80.3446
[8] 24.3811
[8] 64.7702
[8] 32.5233
[8] 20.7106
[8] 11.1284
[8] 11.3302
[9] 6.7269
[9] 5.1775
[9] 6.7140
[9] 4.0134
[9] 4.3900
[9] 4.0738
[9] 187.9563
[9] 1.4254
w6 1156033 trainable params
[0] 0.3490
[0] 0.0969
[0] 0.0827
[0] 0.0795
[0] 0.0813
[0] 0.0895
[0] 0.0820
[0] 0.0685
[1] 0.0673
[1] 0.0679
[1] 0.0701
[1] 0.0665
[1] 0.0682
[1] 0.0634
[1] 0.0651
[1] 0.0633
[2] 0.0586
[2] 0.0586
[2] 1808295.8572
[2] 1502.3691
[2] 2423.3752
[2] 904.5140
[2] 408.7460
[2] 256.3959
[3] 189.4636
[3] 157.3092
[3] 109.0989
[3] 98.4829
[3] 1085.0902
[3] 375.9974
[3] 77.5435
[3] 324.0189
[4] 5425.6907
[4] 211.0270
[4] 38.7780
[4] 29.8913
[4] 41.6300
[4] 105.8389
[4] 28.8739
[4] 13.6827
[5] 180716.1047
[5] 710.9197
[5] 181.7392
[5] 157.5811
[5] 73.8810
[5] 73.2209
[5] 64.8306
[5] 49.1555
[6] 45.8326
[6] 50.1782
[6] 30.3819
[6] 26.9243
[6] 24.2473
[6] 37816.5075
[6] 195.3467
[6] 75.7450
[7] 50.9932
[7] 41.4523
[7] 51.1951
[7] 89002.5161
[7] 1050.8879
[7] 139.0934
[7] 45.2783
[7] 26.0742
[8] 12.8813
[8] 16.4354
[8] 55.3093
[8] 19.9698
[8] 9.1228
[8] 3222.7722
[8] 114.0372
[8] 41.3207
[9] 41.3284
[9] 82543.9231
[9] 468.4500
[9] 960.2482
[9] 68.0691
[9] 511.7614
[9] 5698.6201
[9] 1439.9561
Training different learning rates
learning rate 1.00e-02
[0] 0.5790
[0] 0.1840
[0] 0.2439
[0] 0.2468
[0] 0.1916
[0] 0.1727
[0] 0.8955
[0] 15.5590
[1] 2.0603
[1] 0.9652
[1] 384.7976
[1] 0.9418
[1] 0.4206
[1] 0.6965
[1] 0.3746
[1] 0.7552
[2] 0.4211
[2] 0.4277
[2] 0.2946
[2] 0.2718
[2] 1264.9120
[2] 4.5443
[2] 1.3741
[2] 0.3194
[3] 12.9472
[3] 29.3954
[3] 1.5690
[3] 0.4543
[3] 0.2396
[3] 0.8212
[3] 0.2251
[3] 0.2369
[4] 0.2157
[4] 0.2279
[4] 0.2278
[4] 0.2142
[4] 0.2118
[4] 0.2147
[4] 0.2085
[4] 0.2122
[5] 0.2029
[5] 0.2070
[5] 0.1954
[5] 0.1931
[5] 0.1967
[5] 0.1890
[5] 0.1949
[5] 0.1841
[6] 0.1826
[6] 0.1841
[6] 0.1888
[6] 0.1789
[6] 0.1784
[6] 0.2212
[6] 0.1803
[6] 0.2927
[7] 0.1749
[7] 0.1808
[7] 0.1890
[7] 0.3746
[7] 0.1797
[7] 0.1938
[7] 0.5089
[7] 0.1884
[8] 0.1732
[8] 0.1757
[8] 0.1676
[8] 0.1693
[8] 0.1682
[8] 0.1663
[8] 0.1614
[8] 409.4511
[9] 13.6686
[9] 16.1874
[9] 144.1210
[9] 1.1531
[9] 5.8315
[9] 0.7605
[9] 0.7777
[9] 160618.8195
learning rate 4.64e-04
[0] 0.2274
[0] 0.1673
[0] 0.1644
[0] 0.1591
[0] 0.1507
[0] 0.1562
[0] 0.1710
[0] 0.1500
[1] 11.6009
[1] 0.1793
[1] 0.1481
[1] 0.1369
[1] 0.1380
[1] 0.1282
[1] 0.1334
[1] 0.1197
[2] 0.1256
[2] 0.1620
[2] 0.1095
[2] 0.1141
[2] 0.1060
[2] 0.0989
[2] 0.1004
[2] 0.0969
[3] 0.0933
[3] 0.1179
[3] 0.0931
[3] 0.0850
[3] 0.0875
[3] 0.0888
[3] 0.0879
[3] 0.0919
[4] 0.0804
[4] 0.0839
[4] 0.0870
[4] 0.0819
[4] 0.0794
[4] 0.1040
[4] 0.0812
[4] 0.0798
[5] 0.0768
[5] 0.0728
[5] 0.0762
[5] 0.0755
[5] 0.2155
[5] 0.0780
[5] 0.0745
[5] 0.0745
[6] 0.0727
[6] 0.0713
[6] 0.0835
[6] 0.0690
[6] 0.0722
[6] 0.0734
[6] 0.7780
[6] 0.0706
[7] 0.0701
[7] 0.0748
[7] 0.0689
[7] 0.0671
[7] 1.5549
[7] 0.0713
[7] 0.0745
[7] 0.0682
[8] 0.1232
[8] 0.0710
[8] 0.0664
[8] 0.0692
[8] 0.0677
[8] 0.0661
[8] 0.0697
[8] 0.0655
[9] 0.0649
[9] 0.0649
[9] 0.0724
[9] 0.0662
[9] 0.0696
[9] 0.0635
[9] 0.0626
[9] 0.0679
learning rate 2.15e-05
[0] 0.5714
[0] 0.3374
[0] 0.2817
[0] 0.2548
[0] 0.2385
[0] 0.2317
[0] 0.2267
[0] 0.2811
[1] 0.2097
[1] 0.2047
[1] 0.1956
[1] 0.1998
[1] 0.1868
[1] 0.1827
[1] 0.2043
[1] 0.1834
[2] 0.1810
[2] 0.1759
[2] 0.1800
[2] 0.1732
[2] 0.1757
[2] 0.1735
[2] 0.1716
[2] 0.1695
[3] 0.1672
[3] 0.1709
[3] 0.1652
[3] 0.1695
[3] 0.1679
[3] 0.1607
[3] 0.1682
[3] 0.1676
[4] 0.1589
[4] 0.1622
[4] 0.1607
[4] 0.1661
[4] 0.1608
[4] 0.1622
[4] 0.1632
[4] 0.1664
[5] 0.1671
[5] 0.1608
[5] 0.1636
[5] 0.1587
[5] 0.1534
[5] 0.1566
[5] 0.1563
[5] 0.1526
[6] 0.1562
[6] 0.1549
[6] 0.1575
[6] 0.1535
[6] 0.1560
[6] 0.1572
[6] 0.1555
[6] 0.1532
[7] 0.1575
[7] 0.1497
[7] 0.1530
[7] 0.1527
[7] 0.1508
[7] 0.1560
[7] 0.1569
[7] 0.1496
[8] 0.1453
[8] 0.1542
[8] 0.1527
[8] 0.1507
[8] 0.1599
[8] 0.1528
[8] 0.1460
[8] 0.1476
[9] 0.1528
[9] 0.1476
[9] 0.1471
[9] 0.1547
[9] 0.1464
[9] 0.1450
[9] 0.1468
[9] 0.1480
learning rate 1.00e-06
[0] 0.8962
[0] 1.0771
[0] 0.8084
[0] 0.7608
[0] 0.7437
[0] 0.7177
[0] 0.6910
[0] 0.6431
[1] 0.6584
[1] 0.6278
[1] 0.6046
[1] 0.5753
[1] 0.5740
[1] 0.7886
[1] 0.5388
[1] 0.5142
[2] 0.7338
[2] 0.5101
[2] 0.4752
[2] 0.4595
[2] 0.4675
[2] 0.4420
[2] 0.4286
[2] 0.4233
[3] 0.4305
[3] 0.4024
[3] 0.6174
[3] 0.3861
[3] 0.3929
[3] 0.3598
[3] 0.3554
[3] 0.3654
[4] 0.3503
[4] 0.3407
[4] 0.3404
[4] 0.3340
[4] 0.3410
[4] 0.5623
[4] 0.3252
[4] 0.3140
[5] 0.3107
[5] 0.3141
[5] 0.3026
[5] 0.3029
[5] 0.3184
[5] 0.2984
[5] 0.2992
[5] 0.5152
[6] 0.2804
[6] 0.2877
[6] 0.2856
[6] 0.2846
[6] 0.2988
[6] 0.4915
[6] 0.2861
[6] 0.2894
[7] 0.2804
[7] 0.2707
[7] 0.4656
[7] 0.2795
[7] 0.2793
[7] 0.2876
[7] 0.2672
[7] 0.2665
[8] 0.2626
[8] 0.2583
[8] 0.2795
[8] 0.2610
[8] 0.2689
[8] 0.4647
[8] 0.2656
[8] 0.2562
[9] 0.2675
[9] 0.2544
[9] 0.2751
[9] 0.2458
[9] 0.2558
[9] 0.2533
[9] 0.2522
[9] 0.4483
Evaluating models
evaluating: d1
evaluating: d2
evaluating: d3
evaluating: d4
evaluating: d5
evaluating: d6
evaluating: w1
evaluating: w2
evaluating: w3
evaluating: w4
evaluating: w5
evaluating: w6
